"S.R ID","Created Date","Name","Return From","Supplier","Product Name","SKU","Serial No.","Category","Returned Quantity","Cost (RM)","Total (RM)","Status","Created By","Cancelled By","Cancelled Date","Completed By","Completion Date"
"SR0001","07/14/2026 02:47","Stock Return","Gembira Momento","Tremory (Consignment)","","","","","","","189.00","Completed",". Jang","","",". Jang","07/14/2026 02:47"
"SR0001","07/14/2026 02:47","Stock Return","Gembira Momento","Tremory (Consignment)","Stage Civilizations (35)","TR002","","Fridge Magnet","9","21.00","","Completed",". Jang","","",". Jang","07/14/2026 02:47"
